Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Travel Expenses,44259.8,56218.98997816357,11959.189978163566,27.02,Under budget due to reduced travel
Salaries and Wages,88954.86,77852.63965784066,-11102.220342159344,-12.48,Overdue to overtime and staffing needs
Salaries and Wages,42335.72,35564.4257775952,-6771.294222404802,-15.99,Overdue to overtime and staffing needs
Utilities,89408.69,76626.97307595861,-12781.716924041393,-14.3,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,51199.65,47364.366316522544,-3835.283683477457,-7.49,Overdue to overtime and staffing needs
Utilities,58815.08,58200.93830521828,-614.1416947817197,-1.04,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,93785.94,111164.14140045791,17378.20140045791,18.53,Increased campaign costs
Consulting Fees,47735.81,55990.01284948927,8254.202849489273,17.29,Savings from in-house expertise
Salaries and Wages,98207.5,111948.47725808904,13740.977258089042,13.99,Overdue to overtime and staffing needs
Utilities,40713.51,51803.12935386116,11089.619353861155,27.24,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,16494.96,13462.000524231931,-3032.959475768068,-18.39,Overdue to remote work increase
Office Supplies,24186.72,25636.444785469776,1449.7247854697744,5.99,Overdue to remote work increase
Training and Development,43392.49,43987.796142995576,595.3061429955778,1.37,Underutilized training budget
Technology Equipment,15583.79,19583.526642822708,3999.736642822707,25.67,High due to unexpected upgrades
Salaries and Wages,40855.36,46865.48537457952,6010.125374579518,14.71,Overdue to overtime and staffing needs
Training and Development,96297.94,96761.49404382845,463.55404382845154,0.48,Underutilized training budget
Marketing Expenses,83054.57,91746.04822699432,8691.47822699431,10.46,Increased campaign costs
Consulting Fees,78505.92,76394.5284647177,-2111.391535282295,-2.69,Savings from in-house expertise
Office Supplies,50534.87,51926.29194216097,1391.4219421609669,2.75,Overdue to remote work increase
Miscellaneous Expenses,90970.99,72970.77350981809,-18000.21649018192,-19.79,Unexpected miscellaneous costs
Consulting Fees,11896.86,14439.142077267006,2542.2820772670057,21.37,Savings from in-house expertise
Training and Development,74496.37,87412.06653259067,12915.696532590679,17.34,Underutilized training budget
Technology Equipment,84225.69,74691.57665767074,-9534.113342329263,-11.32,High due to unexpected upgrades
Consulting Fees,87140.6,79289.11001253044,-7851.489987469569,-9.01,Savings from in-house expertise
Miscellaneous Expenses,49739.06,40081.502337349775,-9657.557662650222,-19.42,Unexpected miscellaneous costs
Salaries and Wages,82005.1,91882.09831784022,9876.998317840218,12.04,Overdue to overtime and staffing needs
Office Supplies,59711.53,68751.3509633403,9039.820963340302,15.14,Overdue to remote work increase
Marketing Expenses,61314.54,59592.667834990105,-1721.872165009896,-2.81,Increased campaign costs
Technology Equipment,94055.4,86452.3766354792,-7603.023364520792,-8.08,High due to unexpected upgrades
Consulting Fees,36511.76,32441.712000955944,-4070.047999044058,-11.15,Savings from in-house expertise
Miscellaneous Expenses,81916.0,331290.2587420015,249374.2587420015,304.43,Unexpected miscellaneous costs
Miscellaneous Expenses,95302.95,77688.62115440177,-17614.328845598226,-18.48,Unexpected miscellaneous costs
Travel Expenses,34765.09,32184.551335403663,-2580.5386645963335,-7.42,Under budget due to reduced travel
Miscellaneous Expenses,59595.81,204343.64164493038,144747.83164493038,242.88,Unexpected miscellaneous costs
Travel Expenses,21096.1,21363.731351522012,267.6313515220136,1.27,Under budget due to reduced travel
Office Supplies,56115.56,60201.38980897084,4085.8298089708405,7.28,Overdue to remote work increase
Marketing Expenses,18507.82,22892.242946500686,4384.4229465006865,23.69,Increased campaign costs
Office Supplies,65032.16,72434.65626504549,7402.496265045484,11.38,Overdue to remote work increase
Travel Expenses,26793.96,32964.896264705196,6170.936264705197,23.03,Under budget due to reduced travel
Consulting Fees,23092.26,20065.967570099,-3026.2924299009974,-13.11,Savings from in-house expertise
Utilities,41780.66,38318.46767910195,-3462.1923208980515,-8.29,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,53074.56,56531.853010978266,3457.2930109782683,6.51,Overdue to overtime and staffing needs
Employee Benefits,18255.63,20317.800139388844,2062.1701393888434,11.3,Lower due to reduced benefits claims
Miscellaneous Expenses,66638.19,64802.540322675515,-1835.6496773244871,-2.75,Unexpected miscellaneous costs
Salaries and Wages,43366.65,53795.865578660836,10429.215578660835,24.05,Overdue to overtime and staffing needs
Office Supplies,67960.92,62469.45237589631,-5491.467624103687,-8.08,Overdue to remote work increase
Training and Development,82669.82,82239.43284017754,-430.38715982246504,-0.52,Underutilized training budget
Consulting Fees,75429.69,66287.56741451615,-9142.122585483856,-12.12,Savings from in-house expertise
Salaries and Wages,73512.72,91691.24393688192,18178.523936881917,24.73,Overdue to overtime and staffing needs
Salaries and Wages,37188.96,38419.8617284032,1230.9017284032016,3.31,Overdue to overtime and staffing needs
Travel Expenses,48675.0,41046.8522039635,-7628.147796036501,-15.67,Under budget due to reduced travel
Employee Benefits,28666.28,25959.44717285595,-2706.8328271440478,-9.44,Lower due to reduced benefits claims
Salaries and Wages,64069.18,78719.28753641107,14650.107536411066,22.87,Overdue to overtime and staffing needs
Consulting Fees,88673.99,111861.60325536798,23187.613255367978,26.15,Savings from in-house expertise
Salaries and Wages,41452.39,34767.88786980731,-6684.50213019269,-16.13,Overdue to overtime and staffing needs
Technology Equipment,60714.2,48993.409733126064,-11720.790266873933,-19.3,High due to unexpected upgrades
Technology Equipment,98678.61,95674.2758423188,-3004.3341576811945,-3.04,High due to unexpected upgrades
Consulting Fees,71168.03,86428.35672704253,15260.326727042528,21.44,Savings from in-house expertise
Utilities,20424.18,20396.887497253545,-27.292502746455284,-0.13,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,35035.46,45059.58952994843,10024.129529948434,28.61,Underutilized training budget
Training and Development,22283.92,25126.278618071414,2842.3586180714155,12.76,Underutilized training budget
Consulting Fees,45037.24,37170.24270026493,-7866.997299735071,-17.47,Savings from in-house expertise
Utilities,89326.23,93247.36050169716,3921.13050169716,4.39,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,22559.12,25624.06045645437,3064.9404564543693,13.59,Unexpected miscellaneous costs
Technology Equipment,24368.6,23151.137733653533,-1217.4622663464652,-5.0,High due to unexpected upgrades
Office Supplies,59680.28,67055.50267885649,7375.222678856488,12.36,Overdue to remote work increase
Salaries and Wages,53517.19,275287.58861281513,221770.39861281513,414.39,Overdue to overtime and staffing needs
Utilities,94617.08,110854.32048895843,16237.240488958429,17.16,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,63777.78,75954.36736072274,12176.58736072274,19.09,Savings from in-house expertise
Miscellaneous Expenses,81927.74,72819.36482249344,-9108.375177506561,-11.12,Unexpected miscellaneous costs
Salaries and Wages,15937.58,18331.90250718772,2394.3225071877187,15.02,Overdue to overtime and staffing needs
Technology Equipment,83242.45,89461.56363595213,6219.113635952133,7.47,High due to unexpected upgrades
Salaries and Wages,45180.81,57740.72321707993,12559.913217079935,27.8,Overdue to overtime and staffing needs
Miscellaneous Expenses,89892.14,104524.53129375384,14632.39129375384,16.28,Unexpected miscellaneous costs
Technology Equipment,89001.24,79308.42859322875,-9692.81140677126,-10.89,High due to unexpected upgrades
Technology Equipment,62259.81,67733.94884871203,5474.1388487120275,8.79,High due to unexpected upgrades
Miscellaneous Expenses,67669.63,67917.70771135723,248.07771135722578,0.37,Unexpected miscellaneous costs
Travel Expenses,55802.7,48193.379476454335,-7609.320523545663,-13.64,Under budget due to reduced travel
Utilities,89922.84,108248.77720545589,18325.93720545589,20.38,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,77871.43,93503.11360760621,15631.683607606217,20.07,High due to unexpected upgrades
Marketing Expenses,94996.95,98233.03988329387,3236.089883293869,3.41,Increased campaign costs
Employee Benefits,52347.45,66594.81074654295,14247.360746542952,27.22,Lower due to reduced benefits claims
Technology Equipment,66703.88,77909.9330524068,11206.053052406802,16.8,High due to unexpected upgrades
Consulting Fees,98624.12,115044.61300229395,16420.49300229395,16.65,Savings from in-house expertise
Travel Expenses,82988.59,101086.33892936226,18097.748929362264,21.81,Under budget due to reduced travel
Salaries and Wages,29957.57,32523.903675721107,2566.3336757211073,8.57,Overdue to overtime and staffing needs
Marketing Expenses,95530.0,111610.17591050512,16080.175910505117,16.83,Increased campaign costs
Travel Expenses,21628.32,23623.885096156373,1995.5650961563733,9.23,Under budget due to reduced travel
Office Supplies,77829.42,80404.37720342178,2574.9572034217854,3.31,Overdue to remote work increase
Employee Benefits,64036.25,80636.04619131128,16599.79619131128,25.92,Lower due to reduced benefits claims
Employee Benefits,50162.45,50851.62504030583,689.1750403058322,1.37,Lower due to reduced benefits claims
Miscellaneous Expenses,33305.54,43063.79896292684,9758.25896292684,29.3,Unexpected miscellaneous costs
Employee Benefits,70208.91,68695.3788687267,-1513.5311312733102,-2.16,Lower due to reduced benefits claims
Marketing Expenses,63666.17,74609.04262085012,10942.872620850118,17.19,Increased campaign costs
Office Supplies,71413.27,62102.57388754626,-9310.696112453741,-13.04,Overdue to remote work increase
Training and Development,47865.39,50154.08365351983,2288.693653519833,4.78,Underutilized training budget
Consulting Fees,40256.32,49272.34185414018,9016.021854140177,22.4,Savings from in-house expertise
Salaries and Wages,22391.47,27269.65067521786,4878.18067521786,21.79,Overdue to overtime and staffing needs
Technology Equipment,61549.01,76897.02653398889,15348.016533988884,24.94,High due to unexpected upgrades
Technology Equipment,63169.51,60737.92068563133,-2431.58931436867,-3.85,High due to unexpected upgrades
Utilities,27017.65,34812.83874149342,7795.188741493417,28.85,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,82287.97,75109.43684516112,-7178.5331548388785,-8.72,Increased campaign costs
Employee Benefits,12488.65,10457.248878427012,-2031.401121572988,-16.27,Lower due to reduced benefits claims
Utilities,85159.53,109103.98152742247,23944.45152742247,28.12,"Efficient usage, possibly due to energy-saving initiatives"
Technology Equipment,61393.6,51235.312360001226,-10158.287639998773,-16.55,High due to unexpected upgrades
Technology Equipment,37057.78,34199.91605316222,-2857.8639468377805,-7.71,High due to unexpected upgrades
Consulting Fees,51483.01,47062.10251188835,-4420.907488111654,-8.59,Savings from in-house expertise
Marketing Expenses,12639.68,13037.960279876941,398.28027987694077,3.15,Increased campaign costs
Consulting Fees,66431.62,79559.62517277249,13128.005172772493,19.76,Savings from in-house expertise
Miscellaneous Expenses,93543.72,87842.81313996877,-5700.906860031231,-6.09,Unexpected miscellaneous costs
Travel Expenses,50271.3,55246.54507414795,4975.245074147948,9.9,Under budget due to reduced travel
Employee Benefits,63474.23,51289.45354516301,-12184.776454836996,-19.2,Lower due to reduced benefits claims
Consulting Fees,64388.84,58732.33422809031,-5656.505771909688,-8.78,Savings from in-house expertise
Training and Development,83019.05,68697.10975131932,-14321.94024868068,-17.25,Underutilized training budget
Employee Benefits,15405.09,18633.03910871104,3227.94910871104,20.95,Lower due to reduced benefits claims
Travel Expenses,36424.39,39965.587767653524,3541.1977676535244,9.72,Under budget due to reduced travel
Miscellaneous Expenses,82237.76,71314.0216858583,-10923.738314141694,-13.28,Unexpected miscellaneous costs
Employee Benefits,77528.8,96060.69617104082,18531.89617104082,23.9,Lower due to reduced benefits claims
Technology Equipment,20061.8,17530.025656911643,-2531.7743430883565,-12.62,High due to unexpected upgrades
Training and Development,88158.27,106119.95890413698,17961.688904136972,20.37,Underutilized training budget
Technology Equipment,95272.99,76407.68887303202,-18865.301126967985,-19.8,High due to unexpected upgrades
Consulting Fees,70309.46,86801.1155850922,16491.655585092187,23.46,Savings from in-house expertise
Travel Expenses,94377.24,107633.15656344916,13255.916563449151,14.05,Under budget due to reduced travel
Utilities,41742.8,44465.668616713265,2722.868616713262,6.52,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,43102.65,48008.633133202995,4905.9831332029935,11.38,"Efficient usage, possibly due to energy-saving initiatives"
Office Supplies,19710.42,22957.06058706044,3246.640587060443,16.47,Overdue to remote work increase
Travel Expenses,39455.54,41151.453293744235,1695.9132937442337,4.3,Under budget due to reduced travel
Salaries and Wages,37458.79,39017.480642228635,1558.6906422286338,4.16,Overdue to overtime and staffing needs
Technology Equipment,84691.1,105476.81968683898,20785.719686838973,24.54,High due to unexpected upgrades
Office Supplies,75746.05,64426.871939838704,-11319.178060161299,-14.94,Overdue to remote work increase
Miscellaneous Expenses,18847.72,17183.908476878794,-1663.8115231212068,-8.83,Unexpected miscellaneous costs
